torso_right_hip_side, right_hip_side_hip_front, right_hip_front_thigh, right_thigh_calve, right_calve_ankle, right_ankle_foot, torso_left_hip_side, left_hip_side_hip_front, left_hip_front_thigh, left_thigh_calve, left_calve_ankle, left_ankle_foot, torso_right_bicep, right_bicep_forearm, torso_left_bicep, left_bicep_forearm, torso_neck, neck_head, ignore1, ignore2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.019,0.023,0,0,0,0,0.023,-0.019,0,0,0.069,-0.069,0.069,-0.069,0,0.001,0,0
0,0,-0.036,0.044,0,0,0,0,0.044,-0.036,0,0,0.129,-0.129,0.129,-0.129,0,0.003,0,0
0,0,-0.05,0.061,0,0,0,0,0.061,-0.05,0,0,0.181,-0.181,0.181,-0.181,0,0.004,0,0
0,0,-0.061,0.075,0,0,0,0,0.075,-0.061,0,0,0.225,-0.225,0.225,-0.225,0,0.004,0,0
0,0,-0.071,0.086,0,0,0,0,0.086,-0.071,0,0,0.262,-0.262,0.262,-0.262,0,0.005,0,0
0,0,-0.078,0.095,0,0,0,0,0.095,-0.078,0,0,0.291,-0.292,0.291,-0.292,0,0.006,0,0
0,0,-0.083,0.102,0,0,0,0,0.102,-0.083,0,0,0.314,-0.314,0.314,-0.314,0,0.006,0,0
0,0,-0.087,0.106,0,0,0,0,0.106,-0.087,0,0,0.33,-0.33,0.33,-0.33,0,0.006,0,0
0,0,-0.089,0.108,0,0,0,0,0.108,-0.089,0,0,0.34,-0.34,0.34,-0.34,0,0.006,0,0
0,0,-0.089,0.109,0,0,0,0,0.109,-0.089,0,0,0.344,-0.344,0.344,-0.344,0,0.006,0,0
0,0,-0.088,0.107,0,0,0,0,0.107,-0.088,0,0,0.342,-0.342,0.342,-0.342,0,0.006,0,0
0,0,-0.086,0.105,0,0,0,0,0.105,-0.086,0,0,0.336,-0.336,0.336,-0.336,0,0.006,0,0
0,0,-0.082,0.1,0,0,0,0,0.1,-0.082,0,0,0.324,-0.324,0.324,-0.324,0,0.006,0,0
0,0,-0.078,0.095,0,0,0,0,0.095,-0.078,0,0,0.308,-0.308,0.308,-0.308,0,0.006,0,0
0,0,-0.073,0.089,0,0,0,0,0.089,-0.073,0,0,0.288,-0.288,0.288,-0.288,0,0.005,0,0
0,0,-0.067,0.082,0,0,0,0,0.082,-0.067,0,0,0.264,-0.264,0.264,-0.264,0,0.005,0,0
0,0,-0.061,0.074,0,0,0,0,0.074,-0.061,0,0,0.236,-0.237,0.236,-0.237,0,0.004,0,0
0,0,-0.054,0.066,0,0,0,0,0.066,-0.054,0,0,0.206,-0.206,0.206,-0.206,0,0.004,0,0
0,0,-0.048,0.058,0,0,0,0,0.058,-0.048,0,0,0.172,-0.173,0.172,-0.173,0,0.003,0,0
0,0,-0.041,0.05,0,0,0,0,0.05,-0.041,0,0,0.137,-0.137,0.137,-0.137,0,0.003,0,0
0,0,-0.034,0.041,0,0,0,0,0.041,-0.034,0,0,0.099,-0.099,0.099,-0.099,0,0.002,0,0
0,0,-0.027,0.033,0,0,0,0,0.033,-0.027,0,0,0.059,-0.059,0.059,-0.059,0,0.002,0,0
0,0,-0.021,0.026,0,0,0,0,0.026,-0.021,0,0,0.018,-0.018,0.018,-0.018,0,0.002,0,0
0,0,-0.015,0.019,0,0,0,0,0.019,-0.015,0,0,-0.025,0.025,-0.025,0.025,0,0.001,0,0
0,0,-0.01,0.013,0,0,0,0,0.013,-0.01,0,0,-0.068,0.068,-0.068,0.068,0,0.001,0,0
0,0,-0.008,0.01,0,0,0,0,0.01,-0.008,0,0,-0.091,0.091,-0.091,0.091,0,0.001,0,0
0,0,-0.006,0.007,0,0,0,0,0.007,-0.006,0,0,-0.117,0.117,-0.117,0.117,0,0,0,0
0,0,-0.004,0.004,0,0,0,0,0.004,-0.004,0,0,-0.145,0.145,-0.145,0.145,0,0,0,0
0,0,-0.001,0.001,0,0,0,0,0.001,-0.001,0,0,-0.175,0.175,-0.175,0.175,0,0,0,0
0,0,0.002,-0.002,0,0,0,0,-0.002,0.002,0,0,-0.207,0.207,-0.207,0.207,0,0,0,0
0,0,0.004,-0.005,0,0,0,0,-0.005,0.004,0,0,-0.24,0.24,-0.24,0.24,0,0,0,0
0,0,0.007,-0.008,0,0,0,0,-0.008,0.007,0,0,-0.275,0.275,-0.275,0.275,0,0,0,0
0,0,0.009,-0.011,0,0,0,0,-0.011,0.009,0,0,-0.311,0.311,-0.311,0.311,0,-0.001,0,0
0,0,0.011,-0.013,0,0,0,0,-0.013,0.011,0,0,-0.348,0.348,-0.348,0.348,0,-0.001,0,0
0,0,0.012,-0.015,0,0,0,0,-0.015,0.012,0,0,-0.386,0.386,-0.386,0.386,0,-0.001,0,0
0,0,0.014,-0.017,0,0,0,0,-0.017,0.014,0,0,-0.425,0.425,-0.425,0.425,0,-0.001,0,0
0,0,0.015,-0.018,0,0,0,0,-0.018,0.015,0,0,-0.465,0.465,-0.465,0.465,0,-0.001,0,0
0,0,0.015,-0.018,0,0,0,0,-0.018,0.015,0,0,-0.505,0.505,-0.505,0.505,0,-0.001,0,0
0,0,0.014,-0.018,0,0,0,0,-0.018,0.014,0,0,-0.546,0.546,-0.546,0.546,0,-0.001,0,0
0,0,0.014,-0.017,0,0,0,0,-0.017,0.014,0,0,-0.586,0.586,-0.586,0.586,0,-0.001,0,0
0,0,0.012,-0.015,0,0,0,0,-0.015,0.012,0,0,-0.627,0.627,-0.627,0.627,0,-0.001,0,0
0,0,0.01,-0.012,0,0,0,0,-0.012,0.01,0,0,-0.668,0.668,-0.668,0.668,0,-0.001,0,0
0,0,0.006,-0.008,0,0,0,0,-0.008,0.006,0,0,-0.708,0.708,-0.708,0.708,0,-0.001,0,0
0,0,0.003,-0.004,0,0,0,0,-0.004,0.003,0,0,-0.749,0.749,-0.749,0.749,0,0,0,0
0,0,-0.002,0.002,0,0,0,0,0.002,-0.002,0,0,-0.788,0.788,-0.788,0.788,0,0,0,0
0,0,-0.008,0.009,0,0,0,0,0.009,-0.008,0,0,-0.828,0.828,-0.828,0.828,0,0,0,0
0,0,-0.014,0.016,0,0,0,0,0.016,-0.014,0,0,-0.867,0.867,-0.867,0.867,0,0.001,0,0
0,0,-0.022,0.025,0,0,0,0,0.025,-0.022,0,0,-0.905,0.905,-0.905,0.905,0,0.001,0,0
0,0,-0.03,0.034,0,0,0,0,0.034,-0.03,0,0,-0.942,0.942,-0.942,0.942,0,0.001,0,0
0,0,-0.039,0.045,0,0,0,0,0.045,-0.039,0,0,-0.978,0.978,-0.978,0.978,0,0.002,0,0
0,0,-0.05,0.057,0,0,0,0,0.057,-0.05,0,0,-1.014,1.014,-1.014,1.014,0,0.002,0,0
0,0,-0.061,0.069,0,0,0,0,0.069,-0.061,0,0,-1.049,1.049,-1.049,1.049,0,0.003,0,0
0,0,-0.073,0.083,0,0,0,0,0.083,-0.073,0,0,-1.082,1.082,-1.082,1.082,0,0.003,0,0
0,0,-0.086,0.097,0,0,0,0,0.097,-0.086,0,0,-1.115,1.115,-1.115,1.115,0,0.004,0,0
0,0,-0.1,0.113,0,0,0,0,0.113,-0.1,0,0,-1.146,1.146,-1.146,1.146,0,0.004,0,0
0,0,-0.115,0.129,0,0,0,0,0.129,-0.115,0,0,-1.176,1.176,-1.176,1.176,0,0.005,0,0
0,0,-0.131,0.147,0,0,0,0,0.147,-0.131,0,0,-1.205,1.205,-1.205,1.205,0,0.005,0,0
0,0,-0.148,0.165,0,0,0,0,0.165,-0.148,0,0,-1.233,1.233,-1.233,1.233,0,0.005,0,0
0,0,-0.166,0.184,0,0,0,0,0.184,-0.166,0,0,-1.259,1.259,-1.259,1.259,0,0.006,0,0
0,0,-0.184,0.203,0,0,0,0,0.203,-0.184,0,0,-1.284,1.284,-1.284,1.284,0,0.006,0,0
0,0,-0.204,0.224,0,0,0,0,0.224,-0.204,0,0,-1.308,1.308,-1.308,1.308,0,0.006,0,0
0,0,-0.224,0.244,0,0,0,0,0.244,-0.224,0,0,-1.331,1.331,-1.331,1.331,0,0.007,0,0
